cosine,label,id,desc
0.4531,NO-CONFLICT,py-chunk-vs-retry,"chunk_file vs retry — independent utilities"
0.5064,NO-CONFLICT,ts-formatduration-vs-overlaps,"formatDuration vs overlaps — unrelated utilities"
0.5134,NO-CONFLICT,py-args-vs-sha256,"parse_args vs sha256_file — unrelated"
0.5395,NO-CONFLICT,imports-vs-render,"additive imports block vs render_tile body"
0.5593,NO-CONFLICT,storyteller-vs-needs,"Storyteller::maybe_spawn_event vs decay_needs"
0.572,NO-CONFLICT,helper-vs-test,"edit reconstruct() helper vs edit a test fn"
0.6371,NO-CONFLICT,ts-router-vs-inbox,"POST /reserve handler vs InboxStore.drain"
0.6926,NO-CONFLICT,ts-interface-vs-hook,"AgentMessage interface vs useAgents hook"
0.926,CONFLICT,enum-selection-variants,"Selection enum: both edit variant set"
0.9639,CONFLICT,pathfind-cost,"pathfind inner loop: both edit cost computation"
0.9712,CONFLICT,struct-relationship-fields,"Relationship struct: both add fields, layout clash"
0.9782,CONFLICT,rename-shared-symbol,"decay_needs: rename field hunger->satiety vs edit using hunger"
0.9825,CONFLICT,tick-pipeline-reorder,"World::tick: both edit the same system-call ordering"
0.9896,CONFLICT,py-embed-normalize,"embed_batch: one disables normalize, other keeps it"
0.9958,CONFLICT,ts-checkconflicts,"checkConflicts: two edits to overlap filter"
0.9981,CONFLICT,same-fn-mood-A,"Two agents edit apply_mood body; different clamp bounds"
